companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Nathan's Famous, Inc. Common Stock",NATH,6/24/2024,7/02/2024,6/24/2024,0.5,2.0,6/12/2024
National Beverage Corp. Common Stock,FIZZ,6/24/2024,7/24/2024,6/24/2024,3.25,0.0,6/12/2024
W.R. Berkley Corporation Common Stock,WRB,6/24/2024,6/28/2024,6/24/2024,0.5,0.44,6/12/2024
W.R. Berkley Corporation Common Stock,WRB,6/24/2024,6/28/2024,6/24/2024,0.12,0.44,6/12/2024
FedEx Corporation Common Stock,FDX,6/24/2024,7/09/2024,6/24/2024,1.38,5.52,6/10/2024
"Dynex Capital, Inc. Common Stock",DX,6/24/2024,7/01/2024,6/24/2024,0.13,1.56,6/12/2024
Putnam Premier Income Trust Common Stock,PPT,6/24/2024,7/01/2024,6/24/2024,0.026,0.312,5/20/2024
Putnam Master Intermediate Income Trust Common Stock,PIM,6/24/2024,7/01/2024,6/24/2024,0.022,0.264,5/20/2024
Putnam Managed Municipal Income Trust Common Stock,PMM,6/24/2024,7/01/2024,6/24/2024,0.0238,0.2856,5/20/2024
Putnam Municipal Opportunities Trust Common Stock,PMO,6/24/2024,7/01/2024,6/24/2024,0.035,0.42,5/20/2024
Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),ITUB,6/24/2024,9/09/2024,6/24/2024,0.0477558,0.2436,6/07/2024
Portland General Electric Co Common Stock,POR,6/24/2024,7/15/2024,6/24/2024,0.5,2.0,4/19/2024
Johnson Controls International plc Ordinary Share,JCI,6/24/2024,7/19/2024,6/24/2024,0.37,1.48,6/12/2024
BAB Inc,BABB,6/24/2024,7/12/2024,6/24/2024,0.01,0.04,6/06/2024
Tianjin Port Development Holdings Ltd. ADR,TJIPY,6/24/2024,8/06/2024,6/24/2024,0.385954,0.386,N/A
Geely Automobile Holdings Ltd. ADR,GELYY,6/24/2024,8/16/2024,6/24/2024,0.01682,0.5133,N/A
Amen Properties Inc,AMEN,6/24/2024,7/01/2024,6/24/2024,10.0,40.0,6/11/2024
