companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Amalgamated Financial Corp. Common Stock (DE),AMAL,2/05/2024,2/23/2024,2/06/2024,0.1,0.4,1/23/2024
ASML Holding N.V. New York Registry Shares,ASML,2/05/2024,2/14/2024,2/06/2024,1.5794125,6.13466,2/03/2024
Capital Product Partners L.P. Common Units,CPLP,2/05/2024,2/13/2024,2/06/2024,0.15,0.6,1/25/2024
First Community Corporation Common Stock,FCCO,2/05/2024,2/20/2024,2/06/2024,0.14,0.56,1/23/2024
"HBT Financial, Inc. Common Stock",HBT,2/05/2024,2/13/2024,2/06/2024,0.19,0.68,1/23/2024
Orrstown Financial Services Inc Common Stock,ORRF,2/05/2024,2/13/2024,2/06/2024,0.2,0.8,1/22/2024
"D.R. Horton, Inc. Common Stock",DHI,2/05/2024,2/13/2024,2/06/2024,0.3,1.2,1/23/2024
"MetLife, Inc. Common Stock",MET,2/05/2024,3/14/2024,2/06/2024,0.52,2.08,1/09/2024
Ethan Allen Interiors Inc. Common Stock,ETD,2/05/2024,2/22/2024,2/06/2024,0.36,1.44,1/23/2024
Sensient Technologies Corporation Common Stock,SXT,2/05/2024,3/01/2024,2/06/2024,0.41,1.64,1/19/2024
"Suburban Propane Partners, L.P. Common Stock",SPH,2/05/2024,2/13/2024,2/06/2024,0.325,1.3,1/25/2024
Las Vegas Sands Corp. Common Stock,LVS,2/05/2024,2/14/2024,2/06/2024,0.2,0.8,1/24/2024
"NextEra Energy Partners, LP Common Units representing limited partner interests",NEP,2/05/2024,2/14/2024,2/06/2024,0.88,3.52,1/24/2024
"Archrock, Inc. Common Stock",AROC,2/05/2024,2/13/2024,2/06/2024,0.165,0.66,1/25/2024
"Byline Bancorp, Inc. Common Stock",BY,2/05/2024,2/20/2024,2/06/2024,0.09,0.36,1/25/2024
Equitrans Midstream Corporation Common Stock ,ETRN,2/05/2024,2/14/2024,2/06/2024,0.15,0.6,1/23/2024
Versant PWR 7% PRF PERPETUAL USD 100,BANGN,2/05/2024,2/13/2024,2/06/2024,1.75,7.0,1/26/2024
River City Bank,RCBC,2/05/2024,2/20/2024,2/06/2024,0.37,1.48,1/24/2024
First Commerce Bank Lakewood NJ,CMRB,2/05/2024,2/20/2024,2/06/2024,0.04,0.16,1/23/2024
Thai Beverage Public Company Ltd ADR,TBVPY,2/05/2024,3/14/2024,2/06/2024,1.104174,2.2083,N/A
thyssenkrupp AG ADR,TKAMY,2/05/2024,2/14/2024,2/06/2024,0.104306,0.1043,N/A
PB Financial Corp,PBNC,2/05/2024,2/22/2024,2/06/2024,0.52,2.08,1/25/2024
Equitrans Midstream,EQTNP,2/05/2024,2/14/2024,2/06/2024,0.4873,1.9492,1/23/2024
