companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Bankwell Financial Group, Inc. Common Stock",BWFG,2/12/2024,2/23/2024,2/13/2024,0.2,0.8,1/24/2024
"HMN Financial, Inc. Common Stock",HMNF,2/12/2024,3/06/2024,2/13/2024,0.08,0.32,1/23/2024
Macatawa Bank Corporation Common Stock,MCBC,2/12/2024,2/28/2024,2/13/2024,0.09,0.36,1/18/2024
"Paychex, Inc. Common Stock",PAYX,2/12/2024,2/27/2024,2/13/2024,0.89,3.56,1/18/2024
Pyxis Tankers Inc. 7.75% Series A Cumulative Convertible Preferred Shares,PXSAP,2/12/2024,2/20/2024,2/13/2024,0.1615,1.938,1/31/2024
Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,CEV,2/12/2024,2/20/2024,2/13/2024,0.0434,0.5208,2/01/2024
Allspring Income Opportunities Fund Common Shares,EAD,2/12/2024,3/01/2024,2/13/2024,0.0517,0.6204,1/26/2024
Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,EVV,2/12/2024,2/20/2024,2/13/2024,0.0801,0.9612,2/01/2024
Allspring Multi-Sector Income Fund Common Stock,ERC,2/12/2024,3/01/2024,2/13/2024,0.06521,0.7825,1/26/2024
Allspring Utilities and High Income Fund Common Shares,ERH,2/12/2024,3/01/2024,2/13/2024,0.06428,0.7714,1/26/2024
"Helmerich & Payne, Inc. Common Stock",HP,2/12/2024,2/27/2024,2/13/2024,0.17,1.0,12/06/2023
"Helmerich & Payne, Inc. Common Stock",HP,2/12/2024,2/27/2024,2/13/2024,0.25,1.0,12/06/2023
"Reinsurance Group of America, Incorporated Common Stock",RGA,2/12/2024,2/27/2024,2/13/2024,0.85,3.4,2/01/2024
Southern Copper Corporation Common Stock,SCCO,2/12/2024,2/29/2024,2/13/2024,0.8,3.2,1/25/2024
Eaton Vance Senior Income Trust Common Stock,EVF,2/12/2024,2/20/2024,2/13/2024,0.061,0.732,2/01/2024
Eaton Vance Municipal Income Trust Common Stock,EVN,2/12/2024,2/20/2024,2/13/2024,0.0461,0.5532,2/01/2024
Dolby Laboratories Common Stock,DLB,2/12/2024,2/22/2024,2/13/2024,0.3,1.2,2/01/2024
Lazard Global Total Return and Income Fund Common Stock,LGI,2/12/2024,2/22/2024,2/13/2024,0.10459,1.2551,1/22/2024
"PennyMac Financial Services, Inc. Common Stock",PFSI,2/12/2024,2/23/2024,2/13/2024,0.2,0.8,2/01/2024
FB Financial Corporation Common Stock,FBK,2/12/2024,2/27/2024,2/13/2024,0.17,0.68,1/31/2024
"First National Of Nebraska, Inc.",FINN,2/12/2024,3/01/2024,2/13/2024,30.0,120.0,1/23/2024
Singapore Exchange Limited ADR,SPXCY,2/12/2024,3/06/2024,2/13/2024,0.900853,3.6034,N/A
Keweenaw Financial Corp,KEFI,2/12/2024,3/01/2024,2/13/2024,0.42,1.68,1/24/2024
