companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
Constellation Energy Corporation Common Stock ,CEG,5/29/2024,6/10/2024,5/29/2024,0.3525,1.41,4/30/2024
Electronic Arts Inc. Common Stock,EA,5/29/2024,6/19/2024,5/29/2024,0.19,0.76,5/03/2024
"Enact Holdings, Inc. Common Stock",ACT,5/29/2024,6/13/2024,5/29/2024,0.185,0.64,5/21/2024
Prospect Capital Corporation Common Stock,PSEC,5/29/2024,6/18/2024,5/29/2024,0.06,0.72,5/07/2024
"RB Global, Inc. Common Stock",RBA,5/29/2024,6/20/2024,5/29/2024,0.27,1.08,5/09/2024
S&P Global Inc. Common Stock,SPGI,5/29/2024,6/12/2024,5/29/2024,0.91,3.64,4/30/2024
"Everest Group, Ltd. Common Stock",EG,5/29/2024,6/14/2024,5/29/2024,2.0,8.0,5/15/2024
Griffon Corporation Common Stock,GFF,5/29/2024,6/20/2024,5/29/2024,0.15,0.6,5/08/2024
"Barnes Group, Inc. Common Stock",B,5/29/2024,6/10/2024,5/29/2024,0.16,0.64,5/03/2024
Wheaton Precious Metals Corp Common Shares (Canada),WPM,5/29/2024,6/11/2024,5/29/2024,0.155,0.62,5/09/2024
Hyatt Hotels Corporation Class A Common Stock,H,5/29/2024,6/11/2024,5/29/2024,0.15,0.6,5/09/2024
Loews Corporation Common Stock,L,5/29/2024,6/11/2024,5/29/2024,0.0625,0.25,5/14/2024
"Century Communities, Inc. Common Stock",CCS,5/29/2024,6/12/2024,5/29/2024,0.26,1.04,5/15/2024
"J. Jill, Inc. Common Stock",JILL,5/29/2024,6/12/2024,5/29/2024,0.07,0.28,5/14/2024
Barclays PLC,ATMP,5/29/2024,6/06/2024,5/29/2024,0.33977,1.2552,5/17/2024
Muncy Columbia Financial Corp.,CCFN,5/29/2024,6/13/2024,5/29/2024,0.44,1.74,5/14/2024
Ottawa Bancorp Inc,OTTW,5/29/2024,6/12/2024,5/29/2024,0.11,0.44,5/16/2024
Jardine Cycle & Carriage Limited ADR,JCYGY,5/29/2024,6/25/2024,5/30/2024,1.75,3.5,N/A
Yara International ASA. ADR,YARIY,5/29/2024,6/13/2024,5/30/2024,0.2354292,0.4709,N/A
AAC Technologies Holdings Inc. ADR,AACAY,5/29/2024,7/05/2024,5/29/2024,0.010893,0.0218,N/A
Orient Overseas (International) Ltd. ADR,OROVY,5/29/2024,7/12/2024,5/29/2024,0.833664,1.6673,N/A
Anton Oilfield Services Group ADR,ATONY,5/29/2024,6/26/2024,5/29/2024,0.317025,0.317,N/A
AIA Group Limited ADR,AAGIY,5/29/2024,6/24/2024,5/30/2024,0.578874,1.1577,N/A
Skyworth Group Limited ADR,SWDHY,5/29/2024,6/27/2024,5/29/2024,0.163197,0.3264,N/A
"Great Wall Motor Co., Ltd. ADR",GWLLY,5/29/2024,7/11/2024,5/29/2024,0.329172,0.3292,N/A
China Resources Gas Group Ltd ADR,CGASY,5/29/2024,8/01/2024,5/29/2024,1.211837,2.4237,N/A
CK Hutchison Holdings Limited ADR,CKHUY,5/29/2024,6/28/2024,5/29/2024,0.181653,0.3633,N/A
Sagicor Financial Company Ltd,SGCFF,5/29/2024,6/19/2024,5/29/2024,0.06,0.24,5/10/2024
Anadolu Efes Biracilik ve Malt Sanayi A.S. ADR,AEBZY,5/29/2024,6/10/2024,5/29/2024,0.011553,0.0116,N/A
Safran SA ADR,SAFRY,5/29/2024,6/17/2024,5/29/2024,0.591981,1.184,N/A
Schneider Electric SE ADR,SBGSY,5/29/2024,6/20/2024,5/29/2024,0.753879,0.7539,N/A
Carrefour ADR,CRRFY,5/29/2024,6/21/2024,5/29/2024,0.187166,0.1872,N/A
Getlink SE ADR,GRPTY,5/29/2024,6/20/2024,5/29/2024,0.837452,0.8375,N/A
Helvetia Holding AG ADR,HLVTY,5/29/2024,6/14/2024,5/29/2024,0.095889,0.0959,N/A
