companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
"Advanced Energy Industries, Inc. Common Stock",AEIS,5/23/2024,6/07/2024,5/27/2024,0.1,0.4,4/25/2024
"B. Riley Financial, Inc. Common Stock",RILY,5/23/2024,6/11/2024,5/27/2024,0.5,2.0,5/21/2024
CDW Corporation Common Stock,CDW,5/23/2024,6/11/2024,5/24/2024,0.62,2.48,5/21/2024
"Columbia Banking System, Inc. Common Stock",COLB,5/23/2024,6/10/2024,5/24/2024,0.36,1.44,5/13/2024
CSP Inc. Common Stock,CSPI,5/23/2024,6/12/2024,5/24/2024,0.03,0.1,5/08/2024
First National Corporation Common Stock,FXNC,5/23/2024,6/07/2024,5/24/2024,0.15,0.6,5/08/2024
"Investcorp Credit Management BDC, Inc. Common Stock",ICMB,5/23/2024,6/14/2024,5/26/2024,0.15,0.6,4/12/2024
Joint Stock Company Kaspi.kz American Depository Shares,KSPI,5/23/2024,5/21/2024,5/24/2024,1.91542,7.603816,4/23/2024
Marriott International Class A Common Stock,MAR,5/23/2024,6/28/2024,5/24/2024,0.63,2.08,5/10/2024
PhenixFIN Corporation Common Stock,PFX,5/23/2024,6/10/2024,5/27/2024,1.31,0.0,5/10/2024
"Spok Holdings, Inc. Common Stock",SPOK,5/23/2024,6/24/2024,5/24/2024,0.3125,1.25,5/01/2024
"Strategic Education, Inc. Common Stock",STRA,5/23/2024,6/03/2024,5/24/2024,0.6,2.4,5/21/2024
"United States Lime & Minerals, Inc. Common Stock",USLM,5/23/2024,6/14/2024,5/24/2024,0.25,1.0,4/30/2024
Viatris Inc. Common Stock,VTRS,5/23/2024,6/14/2024,5/24/2024,0.12,0.48,5/06/2024
"WaFd, Inc. Common Stock",WAFD,5/23/2024,6/07/2024,5/24/2024,0.26,1.04,5/14/2024
"Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EIM,5/23/2024,5/31/2024,5/24/2024,0.0468,0.5616,5/01/2024
"Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",ENX,5/23/2024,5/31/2024,5/24/2024,0.0394,0.4728,5/01/2024
"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",EVM,5/23/2024,5/31/2024,5/24/2024,0.0383,0.4596,5/01/2024
Cummins Inc. Common Stock,CMI,5/23/2024,6/06/2024,5/24/2024,1.68,6.72,5/14/2024
Hecla Mining Company Common Stock,HL,5/23/2024,6/11/2024,5/24/2024,0.00625,0.025,5/08/2024
International Paper Company Common Stock,IP,5/23/2024,6/14/2024,5/24/2024,0.4625,1.85,5/14/2024
Masco Corporation Common Stock,MAS,5/23/2024,6/10/2024,5/24/2024,0.29,1.16,5/10/2024
3M Company Common Stock,MMM,5/23/2024,6/12/2024,5/24/2024,0.7,2.8,5/14/2024
"Equifax, Inc. Common Stock",EFX,5/23/2024,6/14/2024,5/24/2024,0.39,1.56,5/02/2024
Vulcan Materials Company (Holding Company) Common Stock,VMC,5/23/2024,6/07/2024,5/24/2024,0.46,1.84,5/10/2024
"Badger Meter, Inc. Common Stock",BMI,5/23/2024,6/07/2024,5/24/2024,0.27,1.08,4/26/2024
Jacobs Solutions Inc. Common Stock,J,5/23/2024,6/21/2024,5/24/2024,0.29,1.16,5/02/2024
Crawford & Company Common Stock,CRD.B,5/23/2024,6/07/2024,5/24/2024,0.07,0.28,5/10/2024
HNI Corporation Common Stock,HNI,5/23/2024,6/12/2024,5/24/2024,0.33,1.32,5/13/2024
Robert Half Inc. Common Stock,RHI,5/23/2024,6/14/2024,5/24/2024,0.53,2.12,5/01/2024
"Haverty Furniture Companies, Inc. Common Stock",HVT,5/23/2024,6/14/2024,5/24/2024,0.32,1.28,5/01/2024
"Haverty Furniture Companies, Inc. Common Stock",HVT.A,5/23/2024,6/14/2024,5/24/2024,0.3,1.2,5/01/2024
"The European Equity Fund, Inc. Common Stock",EEA,5/23/2024,6/04/2024,5/24/2024,0.0376,0.0752,5/14/2024
Putnam Premier Income Trust Common Stock,PPT,5/23/2024,6/03/2024,5/24/2024,0.026,0.312,4/19/2024
Putnam Master Intermediate Income Trust Common Stock,PIM,5/23/2024,6/03/2024,5/24/2024,0.022,0.264,4/19/2024
Putnam Managed Municipal Income Trust Common Stock,PMM,5/23/2024,6/03/2024,5/24/2024,0.0238,0.2856,4/19/2024
Feeder Cattle ,GF,5/23/2024,6/04/2024,5/24/2024,0.0239,0.0478,5/14/2024
Scotts Miracle-Gro Company (The) Common Stock,SMG,5/23/2024,6/07/2024,5/24/2024,0.66,2.64,4/22/2024
Putnam Municipal Opportunities Trust Common Stock,PMO,5/23/2024,6/03/2024,5/24/2024,0.035,0.42,4/19/2024
"Reliance, Inc. Common Stock",RS,5/23/2024,6/07/2024,5/24/2024,1.1,4.4,4/23/2024
"Mativ Holdings, Inc. Common Stock",MATV,5/23/2024,6/21/2024,5/24/2024,0.1,0.4,5/08/2024
Embotelladora Andina S.A. Common Stock,AKO.A,5/23/2024,1/01/0001,5/24/2024,0.193485,1.0072,5/06/2024
Embotelladora Andina S.A. Common Stock,AKO.B,5/23/2024,1/01/0001,5/24/2024,0.212834,1.1079,5/07/2024
"Tortoise Midstream Energy Fund, Inc. Common Stock",NTG,5/23/2024,5/31/2024,5/24/2024,0.77,3.08,5/08/2024
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,EVT,5/23/2024,5/31/2024,5/24/2024,0.1646,1.9752,5/01/2024
Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,EFR,5/23/2024,5/31/2024,5/24/2024,0.121,1.452,5/01/2024
Piper Sandler Companies Common Stock,PIPR,5/23/2024,6/07/2024,5/24/2024,0.6,2.4,4/26/2024
Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,ETG,5/23/2024,5/31/2024,5/24/2024,0.1293,1.5516,5/01/2024
Tortoise Energy Infrastructure Corporation Common Stock,TYG,5/23/2024,5/31/2024,5/24/2024,0.71,2.84,5/08/2024
Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,ETO,5/23/2024,5/31/2024,5/24/2024,0.1733,2.0796,5/01/2024
Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,EFT,5/23/2024,5/31/2024,5/24/2024,0.118,1.416,5/01/2024
Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,EOI,5/23/2024,5/31/2024,5/24/2024,0.1338,1.6056,5/01/2024
"W&T Offshore, Inc. Common Stock",WTI,5/23/2024,5/31/2024,5/24/2024,0.01,0.04,5/10/2024
EOS,EOS,5/23/2024,5/31/2024,5/24/2024,0.1523,1.8276,5/01/2024
Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,EVG,5/23/2024,5/31/2024,5/24/2024,0.0783,0.9396,5/01/2024
Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,ETB,5/23/2024,5/31/2024,5/24/2024,0.1058,1.2696,5/01/2024
Koppers Holdings Inc. Common Stock,KOP,5/23/2024,6/10/2024,5/24/2024,0.07,0.28,5/02/2024
"DHT Holdings, Inc.",DHT,5/23/2024,5/31/2024,5/24/2024,0.29,1.16,5/14/2024
Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,ETW,5/23/2024,5/31/2024,5/24/2024,0.0664,0.7968,5/01/2024
Global Ship Lease Inc New Class A Common Shares,GSL,5/23/2024,6/03/2024,5/24/2024,0.375,1.5,5/10/2024
"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",ETY,5/23/2024,5/31/2024,5/24/2024,0.0992,1.1904,5/01/2024
TE Connectivity Ltd. New Switzerland Registered Shares,TEL,5/23/2024,6/07/2024,5/24/2024,0.65,2.6,3/13/2024
Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,ETJ,5/23/2024,5/31/2024,5/24/2024,0.0651,0.7812,5/01/2024
Crawford & Company Common Stock,CRD.A,5/23/2024,6/07/2024,5/24/2024,0.07,0.28,5/10/2024
Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,EOT,5/23/2024,5/31/2024,5/24/2024,0.0625,0.75,5/01/2024
"Tortoise Power and Energy Infrastructure Fund, Inc Common Stock",TPZ,5/23/2024,5/31/2024,5/24/2024,0.105,1.26,5/08/2024
Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,ETV,5/23/2024,5/31/2024,5/24/2024,0.0993,1.1916,5/01/2024
"Piedmont Office Realty Trust, Inc. Class A Common Stock",PDM,5/23/2024,6/14/2024,5/24/2024,0.125,0.5,4/24/2024
"Fortune Brands Innovations, Inc. Common Stock",FBIN,5/23/2024,6/12/2024,5/24/2024,0.24,0.96,5/07/2024
"Tortoise Pipeline & Energy Fund, Inc. Common Stock",TTP,5/23/2024,5/31/2024,5/24/2024,0.59,2.36,5/08/2024
"Tortoise Energy Independence Fund, Inc. Common Stock",NDP,5/23/2024,5/31/2024,5/24/2024,0.63,2.52,5/08/2024
Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,ETX,5/23/2024,5/31/2024,5/24/2024,0.0782,0.9384,5/01/2024
CRH PLC Ordinary Shares,CRH,5/23/2024,6/26/2024,5/24/2024,0.35,2.03,5/10/2024
Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,EXG,5/23/2024,5/31/2024,5/24/2024,0.0657,0.7884,5/01/2024
Atlantic Union Bankshares Corporation Common Stock,AUB,5/23/2024,6/07/2024,5/24/2024,0.32,1.28,5/07/2024
Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest,HIE,5/23/2024,5/31/2024,5/24/2024,0.051,0.612,4/01/2024
