companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest,FEI           ,12/01/2023,12/15/2023,12/04/2023,0.05,0.6,10/23/2023
First Trust New Opportunities MLP & Energy Fund Common Shares of Beneficial Interest,FPL,12/01/2023,12/15/2023,12/04/2023,0.0375,0.45,10/23/2023
Lancaster Colony Corporation Common Stock,LANC,12/01/2023,12/29/2023,12/04/2023,0.9,3.4,11/08/2023
Linde plc Ordinary Shares,LIN,12/01/2023,12/18/2023,12/04/2023,1.275,5.1,10/23/2023
"Myers Industries, Inc. Common Stock",MYE,12/01/2023,1/03/2024,12/04/2023,0.135,0.54,10/26/2023
"Red River Bancshares, Inc. Common Stock",RRBI,12/01/2023,12/14/2023,12/04/2023,0.08,0.32,10/26/2023
SLM Corporation Common Stock,SLM,12/01/2023,12/15/2023,12/04/2023,0.11,0.44,10/24/2023
"SLM Corporation Floating Rate Non-Cumulative Preferred Stock, Series B",SLMBP,12/01/2023,12/15/2023,12/04/2023,1.8634019,7.368617,10/24/2023
"Universal Logistics Holdings, Inc. Common Stock",ULH,12/01/2023,1/02/2024,12/04/2023,0.105,0.42,10/26/2023
"Myers Industries, Inc. Common Stock",MYE,12/01/2023,1/03/2024,12/04/2023,0.135,0.54,10/26/2023
"Nike, Inc. Common Stock",NKE,12/01/2023,1/02/2024,12/04/2023,0.37,1.48,11/14/2023
UnitedHealth Group Incorporated Common Stock (DE),UNH,12/01/2023,12/12/2023,12/04/2023,1.88,7.52,11/08/2023
"Miller Industries, Inc. Common Stock",MLR,12/01/2023,12/11/2023,12/04/2023,0.18,0.72,11/08/2023
"Insperity, Inc. Common Stock",NSP,12/01/2023,12/18/2023,12/04/2023,0.57,2.28,11/16/2023
Voya Global Equity Dividend and Premium Opportunity Fund,IGD,12/01/2023,12/15/2023,12/04/2023,0.04,0.48,11/16/2023
First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest,FEI,12/01/2023,12/15/2023,12/04/2023,0.05,0.6,10/23/2023
First Trust New Opportunities MLP & Energy Fund Common Shares of Beneficial Interest,FPL,12/01/2023,12/15/2023,12/04/2023,0.0375,0.45,10/23/2023
CNB Financial Services Inc,CBFC,12/01/2023,12/08/2023,12/04/2023,0.6,1.2,11/08/2023
Northfield Precision Instrument Corp.,NFPC,12/01/2023,12/15/2023,12/04/2023,0.1,0.2,11/10/2023
First Berlin Bancorp Inc CMT - CAP Stk,FTFI,12/01/2023,12/15/2023,12/04/2023,0.2,0.4,10/19/2023
Thales S.A. ADR,THLLY,12/01/2023,12/21/2023,12/04/2023,0.1737568,0.3475,N/A
Fluidra,FLDAY,12/01/2023,12/19/2023,12/04/2023,0.098277,0.214,N/A
