companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
SLM Corporation Common Stock,SLM,3/01/2024,3/15/2024,3/04/2024,0.11,0.44,1/23/2024
"SLM Corporation Floating Rate Non-Cumulative Preferred Stock, Series B",SLMBP,3/01/2024,3/15/2024,3/04/2024,1.8552246,7.453608,1/23/2024
"Universal Logistics Holdings, Inc. Common Stock",ULH,3/01/2024,4/01/2024,3/04/2024,0.105,0.42,2/15/2024
FutureFuel Corp.  Common shares,FF,3/01/2024,3/18/2024,3/04/2024,0.06,0.24,2/06/2024
Vulcan Materials Company (Holding Company) Common Stock,VMC,3/01/2024,3/18/2024,3/04/2024,0.46,1.84,2/09/2024
"Nike, Inc. Common Stock",NKE,3/01/2024,4/01/2024,3/04/2024,0.37,1.48,2/08/2024
Vector Group Ltd. Common Stock,VGR,3/01/2024,3/14/2024,3/04/2024,0.2,0.8,2/15/2024
Piper Sandler Companies Common Stock,PIPR,3/01/2024,3/15/2024,3/04/2024,1.0,2.4,2/02/2024
Piper Sandler Companies Common Stock,PIPR,3/01/2024,3/15/2024,3/04/2024,0.6,2.4,2/02/2024
Arbor Realty Trust Common Stock,ABR,3/01/2024,3/15/2024,3/04/2024,0.43,1.72,2/16/2024
Voya Global Equity Dividend and Premium Opportunity Fund,IGD,3/01/2024,3/15/2024,3/04/2024,0.04,0.48,2/15/2024
Owens Corning Inc Common Stock New,OC,3/01/2024,4/04/2024,3/04/2024,0.6,2.4,2/01/2024
Whitestone REIT Common Shares,WSR,3/01/2024,3/14/2024,3/04/2024,0.04,0.48,12/05/2023
"Natural Grocers by Vitamin Cottage, Inc. Common Stock",NGVC,3/01/2024,3/20/2024,3/04/2024,0.1,0.4,2/08/2024
First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest,FEI,3/01/2024,3/15/2024,3/04/2024,0.05,0.6,1/22/2024
First Trust New Opportunities MLP & Energy Fund Common Shares of Beneficial Interest,FPL,3/01/2024,3/15/2024,3/04/2024,0.0375,0.45,1/22/2024
"Paycom Software, Inc. Common Stock",PAYC,3/01/2024,3/18/2024,3/04/2024,0.375,1.5,2/05/2024
AdvanSix Inc. Common Stock ,ASIX,3/01/2024,3/18/2024,3/04/2024,0.16,0.64,2/16/2024
ASX Ltd ADR,ASXFY,3/01/2024,4/10/2024,3/04/2024,0.6078,1.3275,N/A
Kone Corp. ADR,KNYJY,3/01/2024,3/26/2024,3/04/2024,0.937387,0.9374,N/A
