companyName,symbol,dividend_Ex_Date,payment_Date,record_Date,dividend_Rate,indicated_Annual_Dividend,announcement_Date
ChampionX Corporation Common Stock ,CHX,1/04/2024,1/26/2024,1/05/2024,0.085,0.34,11/25/2023
Encore Wire Corporation Common Stock,WIRE,1/04/2024,1/19/2024,1/05/2024,0.02,0.08,11/09/2023
"Escalade, Incorporated Common Stock",ESCA,1/04/2024,1/12/2024,1/05/2024,0.15,0.6,10/25/2023
Kite Realty Group Trust Common Stock,KRG,1/04/2024,1/12/2024,1/05/2024,0.25,1.0,10/27/2023
Main Street Capital Corporation Common Stock,MAIN,1/04/2024,1/12/2024,1/05/2024,0.24,2.82,10/31/2023
"Royal Gold, Inc. Common Stock",RGLD,1/04/2024,1/19/2024,1/05/2024,0.4,1.5,11/14/2023
Sysco Corporation Common Stock,SYY,1/04/2024,1/26/2024,1/05/2024,0.5,2.0,11/16/2023
Globe Life Inc. Common Stock,GL,1/04/2024,2/01/2024,1/05/2024,0.225,0.9,11/14/2023
Main Street Capital Corporation Common Stock,MAIN,1/04/2024,1/12/2024,1/05/2024,0.24,2.82,10/31/2023
Kite Realty Group Trust Common Stock,KRG,1/04/2024,1/12/2024,1/05/2024,0.25,1.0,10/27/2023
Barloworld Ltd ADR,BRRAY,1/04/2024,1/23/2024,1/05/2024,0.098202,0.1964,N/A
Auto Trader Group Plc ADR,ATDRY,1/04/2024,2/09/2024,1/05/2024,0.007859,0.0157,N/A
